,2,23,31,3,10,44,4,21,33,9,11,20,45,46,47
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2149,0.1906,0.1995,0.2526,0.319,0.1962,0.2068,0.2165,0.1739,0.434,0.3655,0.3681,0.2013,0.2178,0.1667
2,0.3231,0.2908,0.3037,0.369,0.4222,0.307,0.3047,0.3196,0.2624,0.513,0.4115,0.4725,0.2931,0.3341,0.2656
3,0.4014,0.3638,0.3812,0.4505,0.4955,0.3961,0.3814,0.3914,0.322,0.5665,0.4431,0.5429,0.3609,0.4237,0.3577
4,0.4711,0.4241,0.4481,0.5229,0.5604,0.4832,0.4577,0.4555,0.3693,0.6173,0.4725,0.6085,0.4238,0.5052,0.4418
5,0.5343,0.4799,0.5113,0.5849,0.6195,0.5665,0.5347,0.52,0.4133,0.6709,0.5124,0.6619,0.5005,0.5859,0.5313
6,0.601,0.562,0.593,0.6487,0.68,0.6546,0.6106,0.5892,0.5077,0.7259,0.5541,0.7165,0.579,0.6671,0.6211
7,0.6809,0.6517,0.6794,0.7216,0.7489,0.7475,0.6951,0.6732,0.6146,0.7863,0.6001,0.7776,0.6671,0.7379,0.7163
8,0.7917,0.7736,0.7919,0.8199,0.8391,0.8463,0.8045,0.7902,0.7564,0.8638,0.6603,0.8575,0.7838,0.8289,0.8236
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
