,id,group,log_t,position_x,position_y
0,0,0,2.166203166041105,1.25,2.17
14,14,0,8.248604051094654,1.25,8.25
30,30,0,-0.14554646887239922,1.25,-0.15
6,6,6,2.182673734340017,8.51,2.18
18,18,6,2.1078783442080393,5.93,2.11
34,34,6,7.54477136405956,8.51,7.54
7,7,7,1.2631660112223932,10.28,1.26
8,8,7,-1.1203158624876959,10.28,-1.12
15,15,7,6.542066400121219,10.28,6.54
35,35,35,2.141834762078079,3.27,2.14
36,36,35,7.620862325878874,3.27,7.62
37,37,35,2.1286822133829117,4.68,2.13
38,38,38,0.18933667724110098,5.29,0.19
39,39,38,6.123948772983278,5.29,6.12
40,40,38,-1.5834102126959868,5.29,-1.58
41,41,41,-0.8062131486366246,11.5,-0.81
42,42,41,4.987160025243302,11.5,4.99
43,43,41,-2.7504928764053798,11.5,-2.75
